risk_id,transaction_id,customer_id,account_id,device_id,timestamp,risk_rule,risk_reason,created_at
29e7cf65-2b52-4112-b5ef-6498d1d6a84f,493d846a-3023-4fff-96c9-a564f64bd510,d3b1c2a8-5ab4-40bb-91d6-547ac52fef67,5ee7b4d9-1730-4b84-a25e-70fda22357c8,91bf33be-af8b-47b0-bc5a-b87f5f1c24ce,2025-07-07 05:05:42,MISSING_STRONG_AUTH,Transaction >= 10M VND must use OTP or biometric authentication,2025-07-16T14:18:36.386766
040f7782-53a7-437d-a404-0fc76fd24031,a52c57e9-e9d4-43c8-88cc-bdd5d82833d1,1cf59964-2dc2-4272-8627-0687b71e4e76,8b55e440-be70-467c-aeab-7139f55e2639,13f420f3-9f88-4f94-bd90-056aa0650e4c,2025-05-12 08:27:13,MISSING_STRONG_AUTH,Transaction >= 10M VND must use OTP or biometric authentication,2025-07-16T14:18:36.386766
416f35b5-a172-4b0d-aa68-0d6e03e33ac5,0397f736-717a-40fc-b306-4072ef5de3a3,1dedeae9-3253-403b-b493-3031c596082f,8775d29c-693b-4af0-8a7c-93548d527dfc,4d53713b-af25-495a-9016-9aa8d0c72392,2025-06-28 22:14:05,MISSING_STRONG_AUTH,Transaction >= 10M VND must use OTP or biometric authentication,2025-07-16T14:18:36.386766
060cc17a-0fdb-4769-af67-a1c7395f3614,f9b7043a-9274-46b8-bc28-0eea3170f734,abc07d36-febc-4f48-bf57-91c56f863d23,6217958c-8a89-4bf7-8749-f5776ba6a6e9,e8a088a6-94c0-4e3f-ac3e-1084c4f54717,2025-05-04 07:01:05,MISSING_STRONG_AUTH,Transaction >= 10M VND must use OTP or biometric authentication,2025-07-16T14:18:36.386766
a22342ff-ad6b-4e0c-9872-d8a16114f074,6d1a6984-667c-4132-91dc-891596d420c7,85d153e6-f6fb-4883-b06a-37b19d9dd1fc,eeaf82af-2c60-4d97-849a-4f6306bc6a1e,13a1f122-472b-4fb7-906e-86a78487691a,2025-01-12 14:24:51,MISSING_STRONG_AUTH,Transaction >= 10M VND must use OTP or biometric authentication,2025-07-16T14:18:36.386766
2f37ebba-8978-4949-b8d0-0ff6f115d326,c9aeedac-97d1-47a7-be3e-b5a5181fff3b,a8fa0f6e-763f-45a9-abda-3ef612f0f513,7c784dd2-2c5f-4632-80f2-ace78b0142e4,4ec352a5-8ce0-40ba-a792-60ada9faaf61,2025-02-22 02:06:29,MISSING_STRONG_AUTH,Transaction >= 10M VND must use OTP or biometric authentication,2025-07-16T14:18:36.386766
6ac003e0-5d53-4405-9f75-d952e090b001,7ac91f66-dee5-4ac1-93d4-be666777c62b,310026a5-a79d-4586-8af0-75c74954e993,528c6c4a-a912-416b-a634-435880fcf381,154cc8de-13f8-4268-af84-aa998b8433f8,2025-04-20 05:06:04,MISSING_STRONG_AUTH,Transaction >= 10M VND must use OTP or biometric authentication,2025-07-16T14:18:36.386766
c3cf40df-a3a7-44be-91be-3a22cafb8491,5d441a67-680a-4a93-a9f9-e987308e7ddb,80656e46-b310-4211-aafd-54d160281f31,af8bce55-9057-4e8f-8171-56e5749984ea,877ea27e-4546-4c33-a91e-58fa998551c0,2025-04-09 05:22:19,MISSING_STRONG_AUTH,Transaction >= 10M VND must use OTP or biometric authentication,2025-07-16T14:18:36.386766
641d4594-4e48-4f6b-8863-ebcac594728a,190d4ac5-f485-4202-a07f-97b6e62d313b,1cf59964-2dc2-4272-8627-0687b71e4e76,0f7b4615-aa67-4864-86fb-828fba4ea461,4d53713b-af25-495a-9016-9aa8d0c72392,2025-03-19 04:34:03,MISSING_STRONG_AUTH,Transaction >= 10M VND must use OTP or biometric authentication,2025-07-16T14:18:36.386766
e79ceb0d-0edf-4a99-a7bf-b66534efd959,7e4450f5-e82b-4468-ae89-49c462601fd2,d3b1c2a8-5ab4-40bb-91d6-547ac52fef67,5ee7b4d9-1730-4b84-a25e-70fda22357c8,fac81111-c316-429c-9133-63da290624b8,2025-02-26 02:31:45,MISSING_STRONG_AUTH,Transaction >= 10M VND must use OTP or biometric authentication,2025-07-16T14:18:36.386766
bbd6c71e-0803-4b1b-a034-da9b72cbe1fc,49ddfb1c-8624-4b44-ae9e-9eb4e4c0815e,a8f87057-c331-46ab-bf6d-21df3f8cf2da,6c6bb1e7-01a3-4b4f-b5f3-02311ddf502a,9ca92f97-44b8-4d02-88e2-e90bb4e9a490,2025-03-10 07:49:49,MISSING_STRONG_AUTH,Transaction >= 10M VND must use OTP or biometric authentication,2025-07-16T14:18:36.386766
4488e7f0-a1d0-496e-bc28-1a03a8033a30,e054d059-bb91-4a58-9ea9-5eb9643a93a9,c21afbc9-838d-43ea-a02b-00202632d40c,9aab4615-e645-40df-876e-126d86cc71ae,9ca92f97-44b8-4d02-88e2-e90bb4e9a490,2025-04-10 17:06:04,MISSING_STRONG_AUTH,Transaction >= 10M VND must use OTP or biometric authentication,2025-07-16T14:18:36.386766
82181cb5-47dc-411b-8401-a169fb27b87d,a8366815-7a13-4412-92b7-96bb7c849843,1cf59964-2dc2-4272-8627-0687b71e4e76,2dbe2ff7-a0ea-4787-94c7-7bf002397014,72a2df96-71c2-437b-9727-04ec92c277b2,2025-01-28 19:00:27,MISSING_STRONG_AUTH,Transaction >= 10M VND must use OTP or biometric authentication,2025-07-16T14:18:36.386766
cea24e3b-e80a-4f0f-88f4-ed6748c7476c,adb4be4d-86ef-45bb-a51c-a8353562103a,fd3b4962-b003-4b90-8d93-8bb7e6d67896,ab946bae-acc0-42d0-9037-d7fc99dad47b,b84eedcb-fb26-4f14-a86e-7e0d5d64c579,2025-06-21 18:57:40,MISSING_STRONG_AUTH,Transaction >= 10M VND must use OTP or biometric authentication,2025-07-16T14:18:36.386766
f3b65f1c-5cf2-4af9-8aca-897282f9a5ce,c7e495d7-8146-45c0-9790-81a1e06e062b,880330f3-e1e9-47be-82c9-8256241fb73e,8ee87f8e-1297-486b-acc3-f9bef588c107,7b1fc9d8-f644-41c8-af72-adfb74f2ba0d,2025-07-07 18:45:52,MISSING_STRONG_AUTH,Transaction >= 10M VND must use OTP or biometric authentication,2025-07-16T14:18:36.386766
