transaction_id,account_id,device_id,amount,transaction_type,state,timestamp
8fc934c6-6fae-4bf4-a0d2-99ec8cdad008,bcb8f67b-aac7-4051-9bd3-8e31483e6d8e,5d2b5964-20d2-48c7-8bc2-3fb459a5e730,37427255.79,TRANSFER,PENDING,2025-05-17 08:03:18
e50bd485-9e80-4971-919d-102f0d27ce90,b81df893-ad1b-48dc-a4db-09732bd91cd6,9d2144ed-19f3-42bb-b06f-848ee9c97530,7438714.06,WITHDRAWAL,COMPLETED,2025-07-13 14:14:11
493d846a-3023-4fff-96c9-a564f64bd510,5ee7b4d9-1730-4b84-a25e-70fda22357c8,91bf33be-af8b-47b0-bc5a-b87f5f1c24ce,38354999.38,TRANSFER,PENDING,2025-07-07 05:05:42
ad1ad495-6d04-4228-b8be-ae959f648df5,1c7f470e-e1aa-4fa7-b405-2e8f3d40370c,c9111103-81f1-4740-a95b-1dd519ae5ff8,49377406.12,WITHDRAWAL,FAILED,2025-07-14 20:36:03
a52c57e9-e9d4-43c8-88cc-bdd5d82833d1,8b55e440-be70-467c-aeab-7139f55e2639,13f420f3-9f88-4f94-bd90-056aa0650e4c,11890579.48,WITHDRAWAL,PENDING,2025-05-12 08:27:13
0397f736-717a-40fc-b306-4072ef5de3a3,8775d29c-693b-4af0-8a7c-93548d527dfc,4d53713b-af25-495a-9016-9aa8d0c72392,33005288.38,PAYMENT,COMPLETED,2025-06-28 22:14:05
f9b7043a-9274-46b8-bc28-0eea3170f734,6217958c-8a89-4bf7-8749-f5776ba6a6e9,e8a088a6-94c0-4e3f-ac3e-1084c4f54717,33281897.4,TOPUP,COMPLETED,2025-05-04 07:01:05
d13318a0-6269-4201-a074-129ea55730d8,de9e2915-da34-48c4-8d6a-cc724ba3ae1f,bf41da55-3832-4630-bdbf-0e707b2b79b4,47327679.46,TRANSFER,FAILED,2025-04-16 08:03:47
0e5fb052-ee2d-4867-9b1b-f77061fbec7e,48cb5202-b25d-4035-b1dd-ff1c1fbe9b3c,17f96296-0993-4aca-a378-f7cb57934980,466433.02,PAYMENT,FAILED,2025-02-27 15:37:49
29fdcf8c-a68e-4ac8-b7bd-b35d9070ba58,29eb6dd7-b5f6-4538-9a7f-3e8a30e0f9f1,e5fe5579-de6a-4e20-8c6c-26f0b9287502,14611631.8,PAYMENT,COMPLETED,2025-01-09 03:19:47
4a8749d2-2d08-4e28-a674-f59d9c4ff8f4,ae61d4eb-b56b-482b-99a8-ffbc9a733d67,89472592-e611-4a6b-a3e8-78f081a74bc2,49448720.31,TRANSFER,COMPLETED,2025-06-13 13:55:51
8d0db5ff-c1a7-4b5d-8aa8-d227f058e965,4b32c736-46b7-4539-9c1d-0e60e24c533c,1123cb0f-9de1-4d91-9529-ff4fd4e03756,9844143.1,PAYMENT,COMPLETED,2025-05-06 19:32:48
6d1a6984-667c-4132-91dc-891596d420c7,eeaf82af-2c60-4d97-849a-4f6306bc6a1e,13a1f122-472b-4fb7-906e-86a78487691a,31461313.44,TRANSFER,COMPLETED,2025-01-12 14:24:51
c9aeedac-97d1-47a7-be3e-b5a5181fff3b,7c784dd2-2c5f-4632-80f2-ace78b0142e4,4ec352a5-8ce0-40ba-a792-60ada9faaf61,34522684.31,WITHDRAWAL,FAILED,2025-02-22 02:06:29
af146281-f161-453d-a706-c1c8acdc28bf,f443bdbe-d584-453f-be32-50a59c930b0b,ecce171d-db76-453a-bcb2-62efec845226,10367133.58,WITHDRAWAL,FAILED,2025-07-14 23:49:34
884e1205-498a-472f-93d5-ead58489561a,ada61f8c-512d-4a9c-87d4-c6414d96d632,45c20e65-fd11-4f2f-8939-395f4dc23cf5,38789637.9,PAYMENT,PENDING,2025-06-03 19:47:40
7ac91f66-dee5-4ac1-93d4-be666777c62b,528c6c4a-a912-416b-a634-435880fcf381,154cc8de-13f8-4268-af84-aa998b8433f8,15740169.36,TRANSFER,COMPLETED,2025-04-20 05:06:04
fdaaf02c-2399-4411-aa20-b6bfaf88d2e9,8b55e440-be70-467c-aeab-7139f55e2639,1be8efc3-88f7-4b7a-b5bb-12ee3c15f4cd,2942187.85,PAYMENT,COMPLETED,2025-06-04 00:52:58
609d0df4-0c9f-4779-91a6-79cd1b796123,94a532a3-7517-49ee-82ab-2a2d4ecd0ae0,168429e3-873c-4478-b777-80ae94bc5587,12533746.0,TRANSFER,FAILED,2025-03-09 01:44:02
1ebdc743-2464-4c97-b466-d3080d0c7459,45b01420-37cb-4196-97c0-b433ee10872e,877ea27e-4546-4c33-a91e-58fa998551c0,25609069.82,PAYMENT,FAILED,2025-01-29 16:52:51
5d441a67-680a-4a93-a9f9-e987308e7ddb,af8bce55-9057-4e8f-8171-56e5749984ea,877ea27e-4546-4c33-a91e-58fa998551c0,25789397.9,WITHDRAWAL,PENDING,2025-04-09 05:22:19
190d4ac5-f485-4202-a07f-97b6e62d313b,0f7b4615-aa67-4864-86fb-828fba4ea461,4d53713b-af25-495a-9016-9aa8d0c72392,26647647.66,TOPUP,FAILED,2025-03-19 04:34:03
7e4450f5-e82b-4468-ae89-49c462601fd2,5ee7b4d9-1730-4b84-a25e-70fda22357c8,fac81111-c316-429c-9133-63da290624b8,30869423.77,WITHDRAWAL,COMPLETED,2025-02-26 02:31:45
74a8c0e0-7125-48f3-8f91-c8c55a670ea3,e2a0ed13-e2b2-49c6-8277-bb7184c9bb0a,89472592-e611-4a6b-a3e8-78f081a74bc2,18764585.26,PAYMENT,COMPLETED,2025-01-07 09:29:31
fc104e23-fada-4ab3-8255-22ed6ec6fd89,0f7b4615-aa67-4864-86fb-828fba4ea461,bd7cbff0-3918-403c-87d5-82c2a5b4193f,25846648.7,TRANSFER,COMPLETED,2025-04-25 01:55:22
bbba0028-2b43-4cac-a698-ed6aee43835c,1c7f470e-e1aa-4fa7-b405-2e8f3d40370c,c9111103-81f1-4740-a95b-1dd519ae5ff8,49345273.72,TRANSFER,COMPLETED,2025-04-25 19:32:30
